740000291,Ludvika station,60.149804,15.183099,2085,6516678,1236212
740000292,Grebbestad busstation,58.691876,11.253984,1435,6594217,1474977
740000293,Frövi station,59.467644,15.363782,1885,7194032,1701299
740000294,Bastuträsk station,64.790005,20.041180,2417,6251710,1388125
740000295,Osby station,56.379948,13.994255,1273,6506298,1237360
740000296,Fjällbacka,58.599677,11.285767,1435,6466003,1244826
740000297,Fiskebäckskil,58.243414,11.458565,1484,6481328,1247358
740000298,Brastad centrum,58.382070,11.484822,1484,6506740,1248166
740000299,Rabbalshede station,58.610027,11.470596,1435,6403192,1328809
740000300,Borås Centralstation,57.720838,12.932004,1490,6693139,1594374
740000301,Tierp station,60.345326,17.514373,0360,6766487,1432584
740000302,Mora station,61.008800,14.558742,2062,6716042,1463439
740000303,Djurås station,60.560178,15.138594,2026,7317534,1518467
740000306,Ammarnäs,65.957510,16.210914,2422,6632715,1306834
740000307,Åmotfors station,59.768950,12.366329,1730,7034456,1355681
740000308,Duved station,63.389761,12.917674,2321,7096116,1667265
740000309,Bjurholm busstation,63.931991,19.216238,2403,7203818,1716961
740000310,Boliden busstation,64.867752,20.384421,2482,6384436,1419549
740000311,Malmbäck station,57.577881,14.460441,0682,6317893,1334167
740000312,Torup station,56.957802,13.079146,1315,6301317,1326950
740000313,Oskarström station,56.806491,12.971953,1380,6378050,1310725
740000314,Skene station,57.488187,12.648616,1463,6398649,1274020
740000315,Mölndal station,57.655957,12.018724,1481,7192529,1465831
740000316,Borgafjäll,64.835164,15.085059,2425,7179087,1757917
740000317,Bureå Torg,64.617888,21.200256,2482,7166235,1733022
740000318,Burträsk busstation,64.521082,20.661339,2482,7302268,1467069
740000319,Hemavan,65.819436,15.084680,2421,6453328,1272187
740000320,Svenshögen station,58.144868,11.935715,1415,6604927,1524158
740000321,Kolbäck station,59.563836,16.232474,1961,6720378,1460348
740000322,Gagnef station,60.598796,15.081378,2026,6159011,1382833
740000323,Tomelilla station,55.546552,13.948940,1270,6977981,1470746
740000324,Gällö station,62.911122,15.229455,2305,6931569,1513534
740000325,Ljungaverk station,62.495646,16.067603,2260,7500740,1683385
740000326,Kaitum station,67.543804,20.108031,2523,6573892,1549639
740000328,Ärla station,59.283043,16.675984,0484,7074688,1725266
