740000187,Hudiksvall station,61.724494,17.109038,2184
740000188,Tvååker Centrum,57.041605,12.398459,1383
740000189,Nybro station,56.742360,15.909170,0881
740000190,Umeå Centralstation,63.830061,20.266814,2480
740000191,Trollhättan Centralstation,58.287580,12.299219,1488
740000192,Kumla station,59.126374,15.140280,1881
740000194,Laxå station,58.989392,14.616658,1860
740000195,Sandviken station,60.614175,16.778113,2181
740000196,Virsbo station,59.872616,16.084065,1907
740000197,Svängsta centrum,56.263288,14.770939,1082
740000198,Ljusdal station,61.826855,16.097120,2161
740000200,Kristianstad Centralstation,56.031667,14.151260,1290
740000202,Insjön station,60.675343,15.094367,2029
740000203,Floda station,57.810065,12.361332,1441
740000205,Mölnlycke station,57.656692,12.117366,1401
740000206,Kil station,59.505031,13.316342,1715
740000207,Hindås station,57.704446,12.451227,1401
740000208,Vassijaure station,68.428825,18.260403,2584
740000210,Gävle Centralstation,60.676245,17.151188,2180
740000211,Landskrona Drottninggatan,55.867897,12.830868,1282
740000212,Reftele station,57.176143,13.593145,0662
740000213,Oskarshamn station,57.263261,16.457499,0882
740000214,Sala station,59.925206,16.606633,1981
740000215,Mullsjö Station,57.914799,13.881707,0642
740000216,Mariestad station,58.712104,13.824498,1493
740000217,Grums station,59.352987,13.113766,1764
740000218,Hofors station,60.569571,16.266361,2104
740000219,Hällnäs station,64.305640,19.625940,2404
740000220,Kramfors station,62.929115,17.778180,2282
740000221,Arvika station,59.653591,12.591149,1784
740000222,Kristinehamn station,59.316500,14.108293,1781
740000223,Gullspång busstation,58.986007,14.098895,1447
740000224,Träslövsläge kyrka,57.053738,12.279156,1383
740000225,Tofta station,57.173488,12.300404,1383
740000226,Åkers styckebruk,59.253310,17.095030,0486
740000227,Skeppshult station,57.126508,13.360237,0662
740000228,Krokom station,63.325990,14.448414,2309
740000229,Riksgränsen station,68.425725,18.127420,2584
740000230,Karlskrona Centralstation,56.166322,15.585483,1080
740000231,Habo station,57.906299,14.076765,0643
740000232,Vaggeryd station,57.498331,14.145133,0665
740000233,Tanum station,58.713712,11.295263,1435
740000234,Sennan station,56.771823,12.980033,1380
740000235,Lessebo station,56.749535,15.259041,0761
740000238,Rävlanda station,57.654588,12.500422,1401
740000239,Vindeln Resecentrum/Station,64.202882,19.712689,2404
740000241,Vänersborg Centralstation,58.377638,12.317816,1487
740000242,Timrå station,62.486396,17.330549,2262
740000243,Bollebygd station,57.667229,12.568772,1443
740000244,Storvik station,60.582100,16.534948,2181
740000245,Ljung station,57.986611,13.053179,1466
740000246,Rydöbruk station,56.959368,13.136307,1315
740000248,Nyåker Affären,63.766996,19.309499,2401
740000249,Oxelösund centrum,58.669573,17.105557,0481
740000250,Växjö station,56.876843,14.803621,0780
740000252,Hok station,57.514182,14.275049,0665
740000253,Härnösand station,62.635184,17.928637,2280
740000254,Gällivare C/Resecentrum,67.133537,20.651307,2523
740000255,Haverdal Haverdalsvägen,56.726809,12.665995,1380
740000256,Karlsborg busstation,58.530709,14.509637,1446
740000257,Falkenberg busstation,56.902164,12.488206,1382
740000258,Markaryd station,56.458889,13.593365,0767
740000260,Eslöv station,55.837715,13.305489,1285
740000261,Harplinge station,56.744397,12.724785,1380
740000262,Arboga station,59.397107,15.841061,1984
740000263,Mellansel station,63.428423,18.307723,2284
740000265,Nattavaara station,66.753896,20.950842,2523
740000266,Fagersta Centralstation,59.990760,15.816510,1982
740000267,Gullbrandstorp,56.704254,12.732562,1380
740000268,Murjek station,66.484137,20.880716,2510
740000269,Getinge station,56.818438,12.730682,1380
740000270,Karlholm Karlitplan,60.520217,17.629061,0360
740000271,Derome station,57.230156,12.320043,1383
740000272,Sandared station,57.709614,12.792489,1490
740000273,Valbo Ikea,60.633332,16.988482,2180
740000274,Torsby station,60.136564,13.002504,1737
740000275,Nyland station,63.006518,17.760399,2282
740000276,Mariefred Busstation,59.263847,17.230520,0486
740000277,Ockelbo station,60.891310,16.721029,2101
740000279,Ellös busstation,58.182917,11.466562,1421
740000280,Kopparberg station,59.872712,14.986854,1864
740000282,Jörn station,65.054425,20.030386,2482
740000283,Ed station,58.913389,11.932942,1438
740000284,Kungsängen station,59.477882,17.752499,0139
740000285,Anneberg station,57.539245,12.100611,1384
740000286,Assberg station,57.494832,12.669702,1463
