Kommunkod|Tätortskod|Tätortsbeteckning|lat|lng
1780|T5756|Molkom|59.60203060264308|13.724345121370614
1780|T5766|Norsbron|59.39948261568819|13.228916764187556
1780|T5794|Älvåker och Råtorp|59.408858333006414|13.487260827000295
1780|T5800|Skattkärr|59.41208650121646|13.670780543004959
1780|T5808|Skåre|59.43554795507781|13.434372669702809
1780|T5860|Vallargärdet|59.472514622426985|13.57801892734228
1780|T5864|Vålberg|59.391442182768486|13.186314751577424
1780|T5872|Väse|59.38245365672593|13.852039921573407
1781|T5612|Björneborg|59.2435865124737|14.257308828890363
1781|T5624|Bäckhammar|59.15866829320852|14.181647497402697
1781|T5720|Kristinehamn|59.30628865779005|14.07734574552117
1781|T5888|Ölme|59.36236294875605|14.007426052486002
1782|T5660|Filipstad|59.6970611387014|14.15943339023937
1782|T5732|Lesjöfors|59.97590004438531|14.182636925439498
1782|T5772|Nykroppa|59.62008223777106|14.304993295607897
1782|T5784|Persberg|59.75134697578018|14.256463239220277
1783|T5608|Bergsäng|60.11374112234428|13.568704180500832
1783|T5724|Ekshärad|60.17440873408481|13.493743947574865
1783|T5688|Hagfors|60.040270702415974|13.705398845761346
1783|T5752|Mjönäs|59.87756283242426|13.555931246501762
1783|T5792|Råda|59.999420827618714|13.588976862129448
1783|T5828|Sunnemo|59.88593354127934|13.718357933859355
1783|T5852|Uddeholm|60.02499846380563|13.620527580726522
1784|T5604|Arvika|59.6606826509059|12.5788990901411
1784|T5640|Edane|59.630227730665986|12.818833081341863
1784|T5672|Glava|59.55348490510829|12.564159796400883
1784|T5680|Gunnarskog|59.81325538042872|12.576719076374154
1784|T5700|Jössefors|59.67294829010351|12.503345202560773
1784|T5712|Klässbol|59.53147261764013|12.744909479755984
1784|T5786|Prästängen|59.66400522520573|12.562820671182859
1784|T5820|Sulvik|59.68475272389488|12.395661449609651
1785|T5832|Svanskog|59.177319620401455|12.552021973407454
1785|T5840|Säffle|59.1330068995666|12.921332552434555
1785|T5868|Värmlandsbro|59.19217224394747|13.028095358791816
1814|T5936|Fjugesta|59.17606209477121|14.871253239044306
1814|T6026|Gropen|59.15975507865143|14.826198459281969
1814|T6056|Mullhyttan|59.15324304091122|14.690384181389794
1814|T6152|Vintrosa|59.24285317459699|14.921538687050266
1860|T5932|Finnerödja|58.92733533556612|14.439510430054915
1860|T5980|Hasselfors|59.08320811214104|14.653048406901254
1860|T6036|Laxå|58.985059559966956|14.621431180871946
1861|T5964|Hallsberg|59.06775848324778|15.107901415762697
1861|T5984|Hjortkvarn|58.89586873118193|15.43630050285393
1861|T6088|Pålsboda|59.064579020408914|15.33799209189333
1861|T6112|Sköllersta|59.137877634031476|15.34175489137335
1861|T6156|Vretstorp|59.023540815771135|14.866162866157453
1861|T6192|Östansjö|59.043257670284284|14.978407197588448
1862|T5916|Degerfors|59.24065965904588|14.43022356763184
1862|T6140|Svartå|59.12644081682263|14.522913764297591
1863|T5952|Grythyttan|59.70646901073762|14.53178150653275
1863|T5996|Hällefors|59.78451368443275|14.52970894852158
1864|T6016|Kopparberg|59.8732453735081|14.989426855526798
1864|T6136|Ställdalen|59.936066570924964|14.932987697296687
1880|T5900|Askersby|59.14988408143505|15.473566381435388
1880|T5924|Ekeby-Almby|59.26029416477223|15.336736103365045
1880|T5944|Garphyttan|59.301678645766266|14.949094759931468
1880|T5948|Glanshammar|59.317052854045|15.402174618341286
1880|T5974|Hampetorp|59.139285930062925|15.669701859130905
1880|T5988|Hovsta|59.34564918457612|15.225528146365003
1880|T6012|Kilsmo|59.06839127903117|15.540811222688324
1880|T6032|Latorpsbruk|59.276642433731226|14.991788146590308
1880|T6064|Norra Bro|59.22106455805913|15.250685265711754
1880|T6076|Odensbacken|59.15960304720176|15.528924785893285
1880|T6116|Stora Mellösa|59.21197081548263|15.50118694600548
1880|T6184|Ölmbrotorp|59.39013800553201|15.240031092748106
1880|T6188|Örebro|59.266930404185295|15.196519861720594
1881|T5920|Ekeby|59.163135521569174|15.266893006911781
1881|T6020|Kumla|59.124343738597155|15.145707034585742
